Name,DataType,InitValue,Comment,Attribute,DeviceType,Address
COIL_AXIS_X_POWER_ON_CMD,BOOL,,X轴上电命令,,coil,50000
COIL_AXIS_X_ORIGIN_CMD,BOOL,,X轴回原点命令,,coil,50010
COIL_AXIS_X_STOP_CMD,BOOL,,X轴停止命令,,coil,50040
COIL_AXIS_X_RESET_CMD,BOOL,,X轴故障复位命令,,coil,50050
COIL_AXIS_X_HOME_POS_CMD,BOOL,,X轴待机位置命令,,coil,50110
COIL_AXIS_X_POS_2_CMD,BOOL,,X轴位置2命令,,coil,50120
COIL_AXIS_X_POS_3_CMD,BOOL,,X轴位置3命令,,coil,50130
COIL_AXIS_X_POS_4_CMD,BOOL,,X轴位置4命令,,coil,50140
COIL_AXIS_X_POS_5_CMD,BOOL,,X轴位置5命令,,coil,50150
COIL_AXIS_X_POS_6_CMD,BOOL,,X轴位置6命令,,coil,50160
COIL_AXIS_X_POS_7_CMD,BOOL,,X轴位置7命令,,coil,50170
COIL_AXIS_X_POS_8_CMD,BOOL,,X轴位置8命令,,coil,50180
COIL_AXIS_X_POS_9_CMD,BOOL,,X轴位置9命令,,coil,50190
COIL_AXIS_X_POS_10_CMD,BOOL,,X轴位置10命令,,coil,50200
COIL_AXIS_X_POWER_ON_STATUS,BOOL,,X轴上电反馈,,coil,51000
COIL_AXIS_X_ORIGIN_STATUS,BOOL,,X轴回原点反馈,,coil,51010
COIL_AXIS_X_STOP_STATUS,BOOL,,X轴停止反馈,,coil,51040
COIL_AXIS_X_RESET_STATUS,BOOL,,X轴故障复位反馈,,coil,51050
COIL_AXIS_X_HOME_POS_STATUS,BOOL,,X轴待机位置反馈,,coil,51110
COIL_AXIS_X_POS_2_STATUS,BOOL,,X轴位置2反馈,,coil,51120
COIL_AXIS_X_POS_3_STATUS,BOOL,,X轴位置3反馈,,coil,51130
COIL_AXIS_X_POS_4_STATUS,BOOL,,X轴位置4反馈,,coil,51140
COIL_AXIS_X_POS_5_STATUS,BOOL,,X轴位置5反馈,,coil,51150
COIL_AXIS_X_POS_6_STATUS,BOOL,,X轴位置6反馈,,coil,51160
COIL_AXIS_X_POS_7_STATUS,BOOL,,X轴位置7反馈,,coil,51170
COIL_AXIS_X_POS_8_STATUS,BOOL,,X轴位置8反馈,,coil,51180
COIL_AXIS_X_POS_9_STATUS,BOOL,,X轴位置9反馈,,coil,51190
COIL_AXIS_X_POS_10_STATUS,BOOL,,X轴位置10反馈,,coil,51200
COIL_GRIPPER_INIT_CMD,BOOL,,夹爪初始化,,coil,45010
COIL_GRIPPER_CLAMPING_CMD,BOOL,,夹爪夹持,,coil,45020
COIL_GRIPPER_OPEN_CMD,BOOL,,夹爪松开,,coil,45030
COIL_GRIPPER_INIT_STATUS,BOOL,,夹爪初始化反馈,,coil,45510
COIL_GRIPPER_ON_STATUS,BOOL,,夹爪夹持反馈,,coil,45520
COIL_GRIPPER_OFF_STATUS,BOOL,,夹爪松开反馈,,coil,45530
COIL_AXIS_Y_POWER_ON_CMD,BOOL,,Y轴上电命令,,coil,52000
COIL_AXIS_Y_ORIGIN_CMD,BOOL,,Y轴回原点命令,,coil,52010
COIL_AXIS_Y_STOP_CMD,BOOL,,Y轴停止命令,,coil,52040
COIL_AXIS_Y_RESET_CMD,BOOL,,Y轴故障复位命令,,coil,52050
COIL_AXIS_Y_HOME_POS_CMD,BOOL,,Y轴待机位置命令,,coil,52110
COIL_AXIS_Y_POS_2_CMD,BOOL,,Y轴位置2命令,,coil,52120
COIL_AXIS_Y_POS_3_CMD,BOOL,,Y轴位置3命令,,coil,52130
COIL_AXIS_Y_POS_4_CMD,BOOL,,Y轴位置4命令,,coil,52140
COIL_AXIS_Y_POS_5_CMD,BOOL,,Y轴位置5命令,,coil,52150
COIL_AXIS_Y_POS_6_CMD,BOOL,,Y轴位置6命令,,coil,52160
COIL_AXIS_Y_POS_7_CMD,BOOL,,Y轴位置7命令,,coil,52170
COIL_AXIS_Y_POS_8_CMD,BOOL,,Y轴位置8命令,,coil,52180
COIL_AXIS_Y_POS_9_CMD,BOOL,,Y轴位置9命令,,coil,52190
COIL_AXIS_Y_POS_10_CMD,BOOL,,Y轴位置10命令,,coil,52200
COIL_AXIS_Y_POWER_ON_STATUS,BOOL,,Y轴上电反馈,,coil,53000
COIL_AXIS_Y_ORIGIN_STATUS,BOOL,,Y轴回原点反馈,,coil,53010
COIL_AXIS_Y_STOP_STATUS,BOOL,,Y轴停止反馈,,coil,53040
COIL_AXIS_Y_RESET_STATUS,BOOL,,Y轴故障复位反馈,,coil,53050
COIL_AXIS_Y_HOME_POS_STATUS,BOOL,,Y轴待机位置反馈,,coil,53110
COIL_AXIS_Y_POS_2_STATUS,BOOL,,Y轴位置2反馈,,coil,53120
COIL_AXIS_Y_POS_3_STATUS,BOOL,,Y轴位置3反馈,,coil,53130
COIL_AXIS_Y_POS_4_STATUS,BOOL,,Y轴位置4反馈,,coil,53140
COIL_AXIS_Y_POS_5_STATUS,BOOL,,Y轴位置5反馈,,coil,53150
COIL_AXIS_Y_POS_6_STATUS,BOOL,,Y轴位置6反馈,,coil,53160
COIL_AXIS_Y_POS_7_STATUS,BOOL,,Y轴位置7反馈,,coil,53170
COIL_AXIS_Y_POS_8_STATUS,BOOL,,Y轴位置8反馈,,coil,53180
COIL_AXIS_Y_POS_9_STATUS,BOOL,,Y轴位置9反馈,,coil,53190
COIL_AXIS_Y_POS_10_STATUS,BOOL,,Y轴位置10反馈,,coil,53200
COIL_AXIS_Z_POWER_ON_CMD,BOOL,,Z轴上电命令,,coil,54000
COIL_AXIS_Z_ORIGIN_CMD,BOOL,,Z轴回原点命令,,coil,54010
COIL_AXIS_Z_STOP_CMD,BOOL,,Z轴停止命令,,coil,54040
COIL_AXIS_Z_RESET_CMD,BOOL,,Z轴故障复位命令,,coil,54050
COIL_AXIS_Z_HOME_POS_CMD,BOOL,,Z轴待机位置命令,,coil,54110
COIL_AXIS_Z_POS_2_CMD,BOOL,,Z轴位置2命令,,coil,54120
COIL_AXIS_Z_POS_3_CMD,BOOL,,Z轴位置3命令,,coil,54130
COIL_AXIS_Z_POS_4_CMD,BOOL,,Z轴位置4命令,,coil,54140
COIL_AXIS_Z_POS_5_CMD,BOOL,,Z轴位置5命令,,coil,54150
COIL_AXIS_Z_POS_6_CMD,BOOL,,Z轴位置6命令,,coil,54160
COIL_AXIS_Z_POS_7_CMD,BOOL,,Z轴位置7命令,,coil,54170
COIL_AXIS_Z_POS_8_CMD,BOOL,,Z轴位置8命令,,coil,54180
COIL_AXIS_Z_POS_9_CMD,BOOL,,Z轴位置9命令,,coil,54190
COIL_AXIS_Z_POS_10_CMD,BOOL,,Z轴位置10命令,,coil,54200
COIL_AXIS_Z_POWER_ON_STATUS,BOOL,,Z轴上电反馈,,coil,55000
COIL_AXIS_Z_ORIGIN_STATUS,BOOL,,Z轴回原点反馈,,coil,55010
COIL_AXIS_Z_STOP_STATUS,BOOL,,Z轴停止反馈,,coil,55040
COIL_AXIS_Z_RESET_STATUS,BOOL,,Z轴故障复位反馈,,coil,55050
COIL_AXIS_Z_HOME_POS_STATUS,BOOL,,Z轴待机位置反馈,,coil,55110
COIL_AXIS_Z_POS_2_STATUS,BOOL,,Z轴位置2反馈,,coil,55120
COIL_AXIS_Z_POS_3_STATUS,BOOL,,Z轴位置3反馈,,coil,55130
COIL_AXIS_Z_POS_4_STATUS,BOOL,,Z轴位置4反馈,,coil,55140
COIL_AXIS_Z_POS_5_STATUS,BOOL,,Z轴位置5反馈,,coil,55150
COIL_AXIS_Z_POS_6_STATUS,BOOL,,Z轴位置6反馈,,coil,55160
COIL_AXIS_Z_POS_7_STATUS,BOOL,,Z轴位置7反馈,,coil,55170
COIL_AXIS_Z_POS_8_STATUS,BOOL,,Z轴位置8反馈,,coil,55180
COIL_AXIS_Z_POS_9_STATUS,BOOL,,Z轴位置9反馈,,coil,55190
COIL_AXIS_Z_POS_10_STATUS,BOOL,,Z轴位置10反馈,,coil,55200
COIL_AXIS_X_JOG_PULS,BOOL,,X轴正方向寸动,,coil,50020
COIL_AXIS_X_JOG_MINUS,BOOL,,X轴负方向寸动,,coil,50030
COIL_AXIS_Y_JOG_PULS,BOOL,,Y轴正方向寸动,,coil,52020
COIL_AXIS_Y_JOG_MINUS,BOOL,,Y轴负方向寸动,,coil,52030
COIL_AXIS_Z_JOG_PULS,BOOL,,Z轴正方向寸动,,coil,54020
COIL_AXIS_Z_JOG_MINUS,BOOL,,Z轴负方向寸动,,coil,54030
